Код валюты||Наименование валюты|Краткое наименование стран и территорий
цифровой|буквенный||
156|CNY|ЮАНЬ|КИТАЙ
170|COP|КОЛУМБИЙСКОЕ ПЕСО|КОЛУМБИЯ
174|KMF|ФРАНК КОМОР|КОМОРЫ
188|CRC|КОСТАРИКАНСКИЙ КОЛОН|КОСТА-РИКА
191|HRK|ХОРВАТСКАЯ КУНА|ХОРВАТИЯ
192|CUP|КУБИНСКОЕ ПЕСО|КУБА
203|CZK|ЧЕШСКАЯ КРОНА|ЧЕШСКАЯ РЕСПУБЛИКА
208|DKK|ДАТСКАЯ КРОНА|ГРЕНЛАНДИЯ; ДАНИЯ; ФАРЕРСКИЕ ОСТРОВА
214|DOP|ДОМИНИКАНСКОЕ ПЕСО|ДОМИНИКАНСКАЯ РЕСПУБЛИКА
222|SVC|САЛЬВАДОРСКИЙ КОЛОН|ЭЛЬ-САЛЬВАДОР
230|ETB|ЭФИОПСКИЙ БЫР|ЭФИОПИЯ
232|ERN|НАКФА|ЭРИТРЕЯ
238|FKP|ФУНТ ФОЛКЛЕНДСКИХ ОСТРОВОВ|ФОЛКЛЕНДСКИЕ ОСТРОВА (МАЛЬВИНСКИЕ)
242|FJD|ДОЛЛАР ФИДЖИ|ФИДЖИ
262|DJF|ФРАНК ДЖИБУТИ|ДЖИБУТИ
270|GMD|ДАЛАСИ|ГАМБИЯ
292|GIP|ГИБРАЛТАРСКИЙ ФУНТ|ГИБРАЛТАР
320|GTQ|КЕТСАЛЬ|ГВАТЕМАЛА
324|GNF|ГВИНЕЙСКИЙ ФРАНК|ГВИНЕЯ
328|GYD|ГАЙАНСКИЙ ДОЛЛАР|ГАЙАНА
332|HTG|ГУРД|ГАИТИ
340|HNL|ЛЕМПИРА|ГОНДУРАС
344|HKD|ГОНКОНГСКИЙ ДОЛЛАР|ГОНКОНГ
348|HUF|ФОРИНТ|ВЕНГРИЯ
352|ISK|ИСЛАНДСКАЯ КРОНА|ИСЛАНДИЯ
356|INR|ИНДИЙСКАЯ РУПИЯ|БУТАН; ИНДИЯ
360|IDR|РУПИЯ|ИНДОНЕЗИЯ
364|IRR|ИРАНСКИЙ РИАЛ|ИРАН (ИСЛАМСКАЯ РЕСПУБЛИКА)
368|IQD|ИРАКСКИЙ ДИНАР|ИРАК
376|ILS|НОВЫЙ ИЗРАИЛЬСКИЙ ШЕКЕЛЬ|ИЗРАИЛЬ
388|JMD|ЯМАЙСКИЙ ДОЛЛАР|ЯМАЙКА
392|JPY|ИЕНА|ЯПОНИЯ
398|KZT|ТЕНГЕ|КАЗАХСТАН
